Age;Gender;School_Grade;Daily_Usage_Hours;Sleep_Hours;Academic_Performance;Social_Interactions;Exercise_Hours;Anxiety_Level;Depression_Level;Self_Esteem;Parental_Control;Screen_Time_Before_Bed;Phone_Checks_Per_Day;Apps_Used_Daily;Time_on_Social_Media;Time_on_Gaming;Time_on_Education;Phone_Usage_Purpose;Family_Communication;Weekend_Usage_Hours;Addiction_Level
13~16;Female~Other;10~12;2~4;3~6;79~94;0~4;1~2;1~6;1~4;2~9;0~1;0~2;25~142;13~19;2~4;0~1;0~2;Browsing~Education~Social Media~Gaming;5~10;5~9;7.5
13~16;Female~Other;10~12;2~4;3~6;79~94;0~4;1~2;1~6;1~4;2~9;0~1;0~2;25~142;13~19;2~4;0~1;0~2;Browsing~Education~Social Media~Gaming;5~10;5~9;10.0
13~16;Female~Other;10~12;2~4;3~6;79~94;0~4;1~2;1~6;1~4;2~9;0~1;0~2;25~142;13~19;2~4;0~1;0~2;Browsing~Education~Social Media~Gaming;5~10;5~9;8.9
13~16;Female~Other;10~12;2~4;3~6;79~94;0~4;1~2;1~6;1~4;2~9;0~1;0~2;25~142;13~19;2~4;0~1;0~2;Browsing~Education~Social Media~Gaming;5~10;5~9;10.0
13~16;Female~Other;10~12;2~4;3~6;79~94;0~4;1~2;1~6;1~4;2~9;0~1;0~2;25~142;13~19;2~4;0~1;0~2;Browsing~Education~Social Media~Gaming;5~10;5~9;10.0
13~16;Female~Other;10~12;0~4;4~6;81~92;3~4;1~2;1~6;5~9;3~8;0~1;0~1;21~112;5~20;1~2;0~2;0~2;Education~Social Media~Gaming~Other;5~10;3~10;6.2
13~16;Female~Other;10~12;0~4;4~6;81~92;3~4;1~2;1~6;5~9;3~8;0~1;0~1;21~112;5~20;1~2;0~2;0~2;Education~Social Media~Gaming~Other;5~10;3~10;9.9
13~16;Female~Other;10~12;0~4;4~6;81~92;3~4;1~2;1~6;5~9;3~8;0~1;0~1;21~112;5~20;1~2;0~2;0~2;Education~Social Media~Gaming~Other;5~10;3~10;6.9
13~16;Female~Other;10~12;0~4;4~6;81~92;3~4;1~2;1~6;5~9;3~8;0~1;0~1;21~112;5~20;1~2;0~2;0~2;Education~Social Media~Gaming~Other;5~10;3~10;3.1
13~16;Female~Other;10~12;0~4;4~6;81~92;3~4;1~2;1~6;5~9;3~8;0~1;0~1;21~112;5~20;1~2;0~2;0~2;Education~Social Media~Gaming~Other;5~10;3~10;3.1
13~16;Female~Other;10~12;0~4;4~6;81~92;3~4;1~2;1~6;5~9;3~8;0~1;0~1;21~112;5~20;1~2;0~2;0~2;Education~Social Media~Gaming~Other;5~10;3~10;10.0
13~15;Female~Other;10~12;0~4;4~6;77~98;0~4;1~2;7~10;1~10;4~8;0~1;0~1;72~125;9~18;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;2~7;10.0
13~15;Female~Other;10~12;0~4;4~6;77~98;0~4;1~2;7~10;1~10;4~8;0~1;0~1;72~125;9~18;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;2~7;4.2
13~15;Female~Other;10~12;0~4;4~6;77~98;0~4;1~2;7~10;1~10;4~8;0~1;0~1;72~125;9~18;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;2~7;6.5
13~15;Female~Other;10~12;0~4;4~6;77~98;0~4;1~2;7~10;1~10;4~8;0~1;0~1;72~125;9~18;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;2~7;10.0
13~15;Female~Other;10~12;0~4;4~6;77~98;0~4;1~2;7~10;1~10;4~8;0~1;0~1;72~125;9~18;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;2~7;10.0
13~15;Female~Other;10~12;0~4;4~6;77~98;0~4;1~2;7~10;1~10;4~8;0~1;0~1;72~125;9~18;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;2~7;7.2
13~15;Female~Other;10~12;0~4;4~6;77~98;0~4;1~2;7~10;1~10;4~8;0~1;0~1;72~125;9~18;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;2~7;9.9
13~15;Female~Other;10~12;0~4;4~6;77~98;0~4;1~2;7~10;1~10;4~8;0~1;0~1;72~125;9~18;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;2~7;10.0
13~16;Female~Other;10~12;2~4;3~6;85~96;6~9;0~1;3~7;1~4;2~8;0~1;0~1;44~141;6~19;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~9;2~9;8.6
13~16;Female~Other;10~12;2~4;3~6;85~96;6~9;0~1;3~7;1~4;2~8;0~1;0~1;44~141;6~19;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~9;2~9;9.3
13~16;Female~Other;10~12;2~4;3~6;85~96;6~9;0~1;3~7;1~4;2~8;0~1;0~1;44~141;6~19;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~9;2~9;9.3
13~16;Female~Other;10~12;2~4;3~6;85~96;6~9;0~1;3~7;1~4;2~8;0~1;0~1;44~141;6~19;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~9;2~9;8.4
13~16;Female~Other;10~12;2~4;3~6;85~96;6~9;0~1;3~7;1~4;2~8;0~1;0~1;44~141;6~19;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~9;2~9;10.0
13~16;Female~Other;10~12;2~4;3~6;85~96;6~9;0~1;3~7;1~4;2~8;0~1;0~1;44~141;6~19;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~9;2~9;10.0
13~16;Female~Other;10~12;2~4;3~6;85~96;6~9;0~1;3~7;1~4;2~8;0~1;0~1;44~141;6~19;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~9;2~9;9.5
13~16;Female~Other;10~12;0~4;4~6;79~97;6~10;0~0;1~7;5~10;4~10;0~1;0~1;43~117;5~20;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;1~8;9.3
13~16;Female~Other;10~12;0~4;4~6;79~97;6~10;0~0;1~7;5~10;4~10;0~1;0~1;43~117;5~20;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;1~8;5.9
13~16;Female~Other;10~12;0~4;4~6;79~97;6~10;0~0;1~7;5~10;4~10;0~1;0~1;43~117;5~20;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;1~8;10.0
13~16;Female~Other;10~12;0~4;4~6;79~97;6~10;0~0;1~7;5~10;4~10;0~1;0~1;43~117;5~20;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;1~8;8.1
13~16;Female~Other;10~12;0~4;4~6;79~97;6~10;0~0;1~7;5~10;4~10;0~1;0~1;43~117;5~20;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;1~8;8.0
13~16;Female~Other;10~12;0~4;4~6;79~97;6~10;0~0;1~7;5~10;4~10;0~1;0~1;43~117;5~20;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;1~8;4.5
13~16;Female~Other;10~12;0~4;4~6;79~97;6~10;0~0;1~7;5~10;4~10;0~1;0~1;43~117;5~20;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;1~8;7.5
13~15;Female~Other;10~12;1~4;4~6;75~96;7~10;0~1;8~10;2~10;1~9;0~1;0~1;23~142;5~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;4~10;4~10;7.9
13~15;Female~Other;10~12;1~4;4~6;75~96;7~10;0~1;8~10;2~10;1~9;0~1;0~1;23~142;5~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;4~10;4~10;6.1
13~15;Female~Other;10~12;1~4;4~6;75~96;7~10;0~1;8~10;2~10;1~9;0~1;0~1;23~142;5~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;4~10;4~10;9.1
13~15;Female~Other;10~12;1~4;4~6;75~96;7~10;0~1;8~10;2~10;1~9;0~1;0~1;23~142;5~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;4~10;4~10;10.0
13~15;Female~Other;10~12;1~4;4~6;75~96;7~10;0~1;8~10;2~10;1~9;0~1;0~1;23~142;5~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;4~10;4~10;6.7
13~15;Female~Other;10~12;1~4;4~6;75~96;7~10;0~1;8~10;2~10;1~9;0~1;0~1;23~142;5~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;4~10;4~10;9.2
13~16;Female~Other;10~12;2~4;3~6;76~97;5~10;1~3;1~5;1~9;2~9;0~1;0~1;20~136;6~20;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;5~7;10.0
13~16;Female~Other;10~12;2~4;3~6;76~97;5~10;1~3;1~5;1~9;2~9;0~1;0~1;20~136;6~20;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;5~7;10.0
13~16;Female~Other;10~12;2~4;3~6;76~97;5~10;1~3;1~5;1~9;2~9;0~1;0~1;20~136;6~20;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;5~7;10.0
13~16;Female~Other;10~12;2~4;3~6;76~97;5~10;1~3;1~5;1~9;2~9;0~1;0~1;20~136;6~20;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;5~7;7.0
13~16;Female~Other;10~12;2~4;3~6;76~97;5~10;1~3;1~5;1~9;2~9;0~1;0~1;20~136;6~20;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;5~7;7.9
13~16;Female~Other;10~12;2~4;3~6;76~97;5~10;1~3;1~5;1~9;2~9;0~1;0~1;20~136;6~20;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;5~7;5.1
13~16;Female~Other;10~12;2~4;3~6;76~97;5~10;1~3;1~5;1~9;2~9;0~1;0~1;20~136;6~20;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;5~7;5.7
13~16;Female~Other;10~12;2~4;3~6;76~97;5~10;1~3;1~5;1~9;2~9;0~1;0~1;20~136;6~20;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;5~7;8.5
13~16;Female~Other;10~12;2~4;3~6;76~97;5~10;1~3;1~5;1~9;2~9;0~1;0~1;20~136;6~20;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;5~7;9.9
13~16;Female~Other;10~12;0~4;3~6;77~97;6~9;1~2;6~10;1~10;1~8;0~1;0~1;33~145;5~17;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;1~10;10.0
13~16;Female~Other;10~12;0~4;3~6;77~97;6~9;1~2;6~10;1~10;1~8;0~1;0~1;33~145;5~17;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;1~10;6.7
13~16;Female~Other;10~12;0~4;3~6;77~97;6~9;1~2;6~10;1~10;1~8;0~1;0~1;33~145;5~17;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;1~10;5.6
13~16;Female~Other;10~12;0~4;3~6;77~97;6~9;1~2;6~10;1~10;1~8;0~1;0~1;33~145;5~17;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;1~10;10.0
13~16;Female~Other;10~12;0~4;3~6;77~97;6~9;1~2;6~10;1~10;1~8;0~1;0~1;33~145;5~17;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;1~10;9.0
13~16;Female~Other;10~12;0~4;3~6;77~97;6~9;1~2;6~10;1~10;1~8;0~1;0~1;33~145;5~17;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;1~10;10.0
13~16;Female~Other;10~12;0~4;3~6;77~97;6~9;1~2;6~10;1~10;1~8;0~1;0~1;33~145;5~17;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;1~10;4.3
13~16;Female~Other;10~12;0~4;3~6;77~97;6~9;1~2;6~10;1~10;1~8;0~1;0~1;33~145;5~17;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;1~10;10.0
13~16;Female~Other;10~12;0~4;3~6;77~97;6~9;1~2;6~10;1~10;1~8;0~1;0~1;33~145;5~17;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;1~10;7.6
13~16;Female~Other;10~12;2~4;6~7;50~63;1~6;0~0;1~6;1~7;5~10;0~1;0~1;26~150;8~18;0~3;0~3;0~1;Education~Social Media~Gaming~Other;1~8;2~8;10.0
13~16;Female~Other;10~12;2~4;6~7;50~63;1~6;0~0;1~6;1~7;5~10;0~1;0~1;26~150;8~18;0~3;0~3;0~1;Education~Social Media~Gaming~Other;1~8;2~8;8.7
13~16;Female~Other;10~12;2~4;6~7;50~63;1~6;0~0;1~6;1~7;5~10;0~1;0~1;26~150;8~18;0~3;0~3;0~1;Education~Social Media~Gaming~Other;1~8;2~8;9.6
13~16;Female~Other;10~12;2~4;6~7;50~63;1~6;0~0;1~6;1~7;5~10;0~1;0~1;26~150;8~18;0~3;0~3;0~1;Education~Social Media~Gaming~Other;1~8;2~8;10.0
13~16;Female~Other;10~12;2~4;6~7;50~63;1~6;0~0;1~6;1~7;5~10;0~1;0~1;26~150;8~18;0~3;0~3;0~1;Education~Social Media~Gaming~Other;1~8;2~8;8.0
13~16;Female~Other;10~12;2~4;6~7;50~63;1~6;0~0;1~6;1~7;5~10;0~1;0~1;26~150;8~18;0~3;0~3;0~1;Education~Social Media~Gaming~Other;1~8;2~8;6.8
14~16;Female~Other;10~12;1~4;6~7;50~69;2~6;0~0;1~6;8~10;1~10;0~1;0~1;34~150;6~20;1~3;0~3;0~1;Education~Social Media~Gaming~Other;1~7;3~8;10.0
14~16;Female~Other;10~12;1~4;6~7;50~69;2~6;0~0;1~6;8~10;1~10;0~1;0~1;34~150;6~20;1~3;0~3;0~1;Education~Social Media~Gaming~Other;1~7;3~8;10.0
14~16;Female~Other;10~12;1~4;6~7;50~69;2~6;0~0;1~6;8~10;1~10;0~1;0~1;34~150;6~20;1~3;0~3;0~1;Education~Social Media~Gaming~Other;1~7;3~8;6.5
14~16;Female~Other;10~12;1~4;6~7;50~69;2~6;0~0;1~6;8~10;1~10;0~1;0~1;34~150;6~20;1~3;0~3;0~1;Education~Social Media~Gaming~Other;1~7;3~8;8.1
14~16;Female~Other;10~12;1~4;6~7;50~69;2~6;0~0;1~6;8~10;1~10;0~1;0~1;34~150;6~20;1~3;0~3;0~1;Education~Social Media~Gaming~Other;1~7;3~8;10.0
13~16;Female~Other;10~12;3~4;6~9;53~71;0~6;0~0;7~10;1~10;2~10;0~1;0~2;21~146;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;3~9;8.4
13~16;Female~Other;10~12;3~4;6~9;53~71;0~6;0~0;7~10;1~10;2~10;0~1;0~2;21~146;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;3~9;10.0
13~16;Female~Other;10~12;3~4;6~9;53~71;0~6;0~0;7~10;1~10;2~10;0~1;0~2;21~146;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;3~9;8.3
13~16;Female~Other;10~12;3~4;6~9;53~71;0~6;0~0;7~10;1~10;2~10;0~1;0~2;21~146;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;3~9;6.2
13~16;Female~Other;10~12;3~4;6~9;53~71;0~6;0~0;7~10;1~10;2~10;0~1;0~2;21~146;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;3~9;6.0
13~16;Female~Other;10~12;3~4;6~9;53~71;0~6;0~0;7~10;1~10;2~10;0~1;0~2;21~146;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;3~9;10.0
13~16;Female~Other;10~12;3~4;6~9;53~71;0~6;0~0;7~10;1~10;2~10;0~1;0~2;21~146;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;3~9;5.7
13~16;Female~Other;10~12;3~4;6~9;53~71;0~6;0~0;7~10;1~10;2~10;0~1;0~2;21~146;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;3~9;6.2
13~16;Female~Other;10~12;3~4;6~9;53~71;0~6;0~0;7~10;1~10;2~10;0~1;0~2;21~146;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;3~9;9.8
13~16;Female~Other;10~12;2~4;6~10;55~64;0~4;1~1;1~5;1~8;1~9;0~1;0~1;21~146;5~20;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;2~8;4.9
13~16;Female~Other;10~12;2~4;6~10;55~64;0~4;1~1;1~5;1~8;1~9;0~1;0~1;21~146;5~20;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;2~8;10.0
13~16;Female~Other;10~12;2~4;6~10;55~64;0~4;1~1;1~5;1~8;1~9;0~1;0~1;21~146;5~20;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;2~8;10.0
13~16;Female~Other;10~12;2~4;6~10;55~64;0~4;1~1;1~5;1~8;1~9;0~1;0~1;21~146;5~20;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;2~8;7.2
13~16;Female~Other;10~12;2~4;6~10;55~64;0~4;1~1;1~5;1~8;1~9;0~1;0~1;21~146;5~20;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;2~8;7.5
13~16;Female~Other;10~12;2~4;6~10;55~64;0~4;1~1;1~5;1~8;1~9;0~1;0~1;21~146;5~20;1~3;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;2~8;5.2
13~15;Female~Other;10~12;2~4;7~10;59~70;2~6;1~2;1~5;1~7;10;0~1;0~2;25~126;7~18;2~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;3~7;8.6
13~15;Female~Other;10~12;2~4;7~10;59~70;2~6;1~2;1~5;1~7;10;0~1;0~2;25~126;7~18;2~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;3~7;9.9
13~15;Female~Other;10~12;2~4;7~10;59~70;2~6;1~2;1~5;1~7;10;0~1;0~2;25~126;7~18;2~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;3~7;7.0
13~15;Female~Other;10~12;2~4;7~10;59~70;2~6;1~2;1~5;1~7;10;0~1;0~2;25~126;7~18;2~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;3~7;9.3
13~15;Female~Other;10~12;2~4;7~10;59~70;2~6;1~2;1~5;1~7;10;0~1;0~2;25~126;7~18;2~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;3~7;6.1
13~15;Female~Other;10~12;2~4;7~10;59~70;2~6;1~2;1~5;1~7;10;0~1;0~2;25~126;7~18;2~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;2~8;3~7;8.2
13~16;Female~Other;10~12;2~4;6~8;51~65;0~6;1~2;6~10;1~6;2~6;0~1;0~1;21~146;5~19;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~9;10.0
13~16;Female~Other;10~12;2~4;6~8;51~65;0~6;1~2;6~10;1~6;2~6;0~1;0~1;21~146;5~19;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~9;6.4
13~16;Female~Other;10~12;2~4;6~8;51~65;0~6;1~2;6~10;1~6;2~6;0~1;0~1;21~146;5~19;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~9;9.0
13~16;Female~Other;10~12;2~4;6~8;51~65;0~6;1~2;6~10;1~6;2~6;0~1;0~1;21~146;5~19;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~9;10.0
13~16;Female~Other;10~12;2~4;6~8;51~65;0~6;1~2;6~10;1~6;2~6;0~1;0~1;21~146;5~19;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~9;9.9
13~16;Female~Other;10~12;2~4;6~8;51~65;0~6;1~2;6~10;1~6;2~6;0~1;0~1;21~146;5~19;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~9;9.9
13~16;Female~Other;10~12;2~4;6~8;51~65;0~6;1~2;6~10;1~6;2~6;0~1;0~1;21~146;5~19;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~9;8.6
13~16;Female~Other;10~12;2~4;6~8;51~65;0~6;1~2;6~10;1~6;2~6;0~1;0~1;21~146;5~19;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~9;5.5
13~16;Female~Other;10~12;2~4;6~8;51~65;0~6;1~2;6~10;1~6;2~6;0~1;0~1;21~146;5~19;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~9;8.3
13~16;Female~Other;10~12;1~4;6~7;52~73;7~10;0~1;1~5;1~9;1~10;0~1;0~2;29~107;5~19;0~3;0~3;0~2;Browsing~Education~Social Media~Gaming;1~9;3~9;7.0
13~16;Female~Other;10~12;1~4;6~7;52~73;7~10;0~1;1~5;1~9;1~10;0~1;0~2;29~107;5~19;0~3;0~3;0~2;Browsing~Education~Social Media~Gaming;1~9;3~9;9.0
13~16;Female~Other;10~12;1~4;6~7;52~73;7~10;0~1;1~5;1~9;1~10;0~1;0~2;29~107;5~19;0~3;0~3;0~2;Browsing~Education~Social Media~Gaming;1~9;3~9;7.7
13~16;Female~Other;10~12;1~4;6~7;52~73;7~10;0~1;1~5;1~9;1~10;0~1;0~2;29~107;5~19;0~3;0~3;0~2;Browsing~Education~Social Media~Gaming;1~9;3~9;8.0
13~16;Female~Other;10~12;1~4;6~7;52~73;7~10;0~1;1~5;1~9;1~10;0~1;0~2;29~107;5~19;0~3;0~3;0~2;Browsing~Education~Social Media~Gaming;1~9;3~9;6.2
13~16;Female~Other;10~12;1~4;6~7;52~73;7~10;0~1;1~5;1~9;1~10;0~1;0~2;29~107;5~19;0~3;0~3;0~2;Browsing~Education~Social Media~Gaming;1~9;3~9;5.1
13~16;Female~Other;10~12;1~4;6~7;52~73;7~10;0~1;1~5;1~9;1~10;0~1;0~2;29~107;5~19;0~3;0~3;0~2;Browsing~Education~Social Media~Gaming;1~9;3~9;8.1
13~16;Female~Other;10~12;1~4;6~7;52~73;7~10;0~1;1~5;1~9;1~10;0~1;0~2;29~107;5~19;0~3;0~3;0~2;Browsing~Education~Social Media~Gaming;1~9;3~9;6.8
13~16;Female~Other;10~12;2~4;6~7;52~67;7~10;0~1;6~10;2~9;1~8;0~1;0~1;55~149;14~20;0~4;0~1;0~2;Education~Social Media~Gaming~Other;1~10;4~7;8.3
13~16;Female~Other;10~12;2~4;6~7;52~67;7~10;0~1;6~10;2~9;1~8;0~1;0~1;55~149;14~20;0~4;0~1;0~2;Education~Social Media~Gaming~Other;1~10;4~7;9.2
13~16;Female~Other;10~12;2~4;6~7;52~67;7~10;0~1;6~10;2~9;1~8;0~1;0~1;55~149;14~20;0~4;0~1;0~2;Education~Social Media~Gaming~Other;1~10;4~7;8.4
13~16;Female~Other;10~12;2~4;6~7;52~67;7~10;0~1;6~10;2~9;1~8;0~1;0~1;55~149;14~20;0~4;0~1;0~2;Education~Social Media~Gaming~Other;1~10;4~7;10.0
13~16;Female~Other;10~12;2~4;6~7;52~67;7~10;0~1;6~10;2~9;1~8;0~1;0~1;55~149;14~20;0~4;0~1;0~2;Education~Social Media~Gaming~Other;1~10;4~7;10.0
13~16;Female~Other;10~12;0~4;6~7;51~73;8~10;1~3;1~5;3~9;1~5;0~1;0~2;35~143;6~14;0~4;0~1;0~1;Browsing~Education~Social Media~Gaming;3~10;1~10;6.4
13~16;Female~Other;10~12;0~4;6~7;51~73;8~10;1~3;1~5;3~9;1~5;0~1;0~2;35~143;6~14;0~4;0~1;0~1;Browsing~Education~Social Media~Gaming;3~10;1~10;9.3
13~16;Female~Other;10~12;0~4;6~7;51~73;8~10;1~3;1~5;3~9;1~5;0~1;0~2;35~143;6~14;0~4;0~1;0~1;Browsing~Education~Social Media~Gaming;3~10;1~10;5.8
13~16;Female~Other;10~12;0~4;6~7;51~73;8~10;1~3;1~5;3~9;1~5;0~1;0~2;35~143;6~14;0~4;0~1;0~1;Browsing~Education~Social Media~Gaming;3~10;1~10;3.8
13~16;Female~Other;10~12;0~4;6~7;51~73;8~10;1~3;1~5;3~9;1~5;0~1;0~2;35~143;6~14;0~4;0~1;0~1;Browsing~Education~Social Media~Gaming;3~10;1~10;6.1
13~16;Female~Other;10~12;0~4;6~7;51~73;8~10;1~3;1~5;3~9;1~5;0~1;0~2;35~143;6~14;0~4;0~1;0~1;Browsing~Education~Social Media~Gaming;3~10;1~10;7.3
13~16;Female~Other;10~12;0~4;6~7;51~73;8~10;1~3;1~5;3~9;1~5;0~1;0~2;35~143;6~14;0~4;0~1;0~1;Browsing~Education~Social Media~Gaming;3~10;1~10;7.9
13~15;Female~Other;10~12;0~4;6~9;61~72;7~10;1~2;6~9;1~10;1~10;0~1;0~1;32~133;8~15;2~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~10;2~8;4.2
13~15;Female~Other;10~12;0~4;6~9;61~72;7~10;1~2;6~9;1~10;1~10;0~1;0~1;32~133;8~15;2~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~10;2~8;6.8
13~15;Female~Other;10~12;0~4;6~9;61~72;7~10;1~2;6~9;1~10;1~10;0~1;0~1;32~133;8~15;2~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~10;2~8;8.6
13~15;Female~Other;10~12;0~4;6~9;61~72;7~10;1~2;6~9;1~10;1~10;0~1;0~1;32~133;8~15;2~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~10;2~8;5.2
13~15;Female~Other;10~12;0~4;6~9;61~72;7~10;1~2;6~9;1~10;1~10;0~1;0~1;32~133;8~15;2~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~10;2~8;8.0
13~15;Female~Other;10~12;0~4;6~9;61~72;7~10;1~2;6~9;1~10;1~10;0~1;0~1;32~133;8~15;2~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~10;2~8;9.4
13~15;Female~Other;10~12;0~4;6~9;61~72;7~10;1~2;6~9;1~10;1~10;0~1;0~1;32~133;8~15;2~3;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~10;2~8;9.7
13~15;Female~Other;10~12;1~4;6~9;74~98;0~4;0~1;1~4;4~9;1~10;0~1;0~1;30~132;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;7.3
13~15;Female~Other;10~12;1~4;6~9;74~98;0~4;0~1;1~4;4~9;1~10;0~1;0~1;30~132;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;10.0
13~15;Female~Other;10~12;1~4;6~9;74~98;0~4;0~1;1~4;4~9;1~10;0~1;0~1;30~132;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;5.1
13~15;Female~Other;10~12;1~4;6~9;74~98;0~4;0~1;1~4;4~9;1~10;0~1;0~1;30~132;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;6.0
13~15;Female~Other;10~12;1~4;6~9;74~98;0~4;0~1;1~4;4~9;1~10;0~1;0~1;30~132;6~20;1~4;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;10.0
